battery_capacity_kWh,avg_speed_kmph,distance_km,temperature_c,humidity_percent,charging_time_hrs,vehicle_weight_kg,driving_mode,terrain_type,ev_energy_demand
81,65,96,28,72,4.34,2305,eco,highway,0
21,56,275,5,40,3.01,1568,sport,highway,0
66,31,126,12,82,0.61,1892,sport,rural,0
72,70,226,-2,59,2.37,1400,sport,rural,0
43,53,30,22,45,1.8,1434,sport,highway,1
38,81,267,22,83,0.96,1864,eco,highway,1
67,84,180,24,68,4.41,1165,sport,rural,1
34,79,259,-9,75,2.14,1594,sport,highway,0
21,81,69,7,22,0.52,1062,eco,rural,1
25,55,273,-4,45,0.84,1757,normal,urban,0
33,73,126,2,56,0.73,1103,sport,rural,0
26,32,279,-3,46,4.4,1039,sport,rural,1
74,66,21,12,57,4.07,1855,normal,rural,0
30,55,122,16,33,4.59,1362,sport,rural,1
33,29,108,10,59,3.23,1620,normal,urban,1
95,73,229,7,40,3.5,1504,normal,urban,1
98,44,157,-8,58,1.75,1413,eco,urban,0
29,92,114,18,52,0.54,1629,eco,highway,0
43,33,117,37,38,1.17,1019,sport,highway,1
37,45,168,22,49,2.94,1386,normal,rural,1
43,82,210,19,49,2.69,1112,normal,urban,1
30,57,254,-9,23,3.1,2306,sport,highway,0
43,82,210,19,49,2.69,1112,normal,urban,1
68,38,130,10,68,4.52,2085,sport,highway,1
40,60,157,-7,38,2.54,1499,sport,urban,0
52,73,249,17,57,3.92,1517,sport,rural,1
53,28,126,31,28,4.67,1717,normal,highway,1
67,84,180,24,68,4.41,1165,sport,rural,1
38,81,267,22,83,0.96,1864,eco,highway,1
90,26,188,36,58,1.18,1043,sport,urban,0
35,75,16,28,35,0.5,1602,sport,rural,1
88,53,290,41,46,2.72,1313,sport,rural,0
88,94,205,11,58,4.85,2228,sport,rural,0
79,61,188,12,66,4.03,1637,normal,highway,1
40,48,285,13,54,2.83,2145,eco,urban,0
24,48,248,-8,66,3.94,2349,normal,rural,0
67,24,182,10,71,3.06,2337,normal,highway,0
81,22,99,19,88,1.52,2070,sport,urban,0
88,82,13,37,69,3.38,2116,normal,rural,0
99,42,170,6,50,4.45,1668,normal,highway,0
73,51,232,7,74,1.41,2491,eco,rural,0
28,32,34,-10,55,4.82,1070,normal,urban,1
29,64,180,13,75,1.77,1095,sport,highway,0
89,86,177,-6,60,2.99,2361,eco,urban,1
35,75,16,28,35,0.5,1602,sport,rural,1
77,42,46,44,22,3.38,2023,eco,rural,0
52,53,162,13,89,4.52,2475,sport,urban,0
23,59,280,-5,87,0.54,1880,eco,urban,1
27,88,167,26,83,3.07,2474,sport,rural,0
96,37,152,28,40,2.05,1974,eco,urban,1
96,46,116,22,43,0.54,2472,sport,highway,1
23,24,152,-1,29,1.38,2052,eco,urban,0
92,36,12,30,80,0.99,2082,eco,rural,1
79,70,233,-7,44,3.67,1091,normal,rural,0
71,86,135,14,20,0.5,2465,eco,highway,0
58,34,59,30,39,3.97,1498,eco,urban,0
49,30,217,10,47,1.25,1244,sport,rural,0
75,93,233,-3,60,4.5,1801,sport,rural,0
27,31,62,4,33,1.25,1395,normal,rural,0
21,21,27,37,34,3.48,2255,eco,urban,0
43,53,30,22,45,1.8,1434,sport,highway,1
41,97,159,6,27,1.36,1250,normal,urban,1
92,49,10,6,68,2.09,2437,normal,rural,0
73,96,42,-5,79,4.2,1924,sport,urban,0
35,86,190,6,38,2.41,2288,sport,urban,1
34,73,192,33,82,1.09,1021,sport,rural,0
69,20,241,20,58,3.89,1299,eco,urban,0
42,31,21,-6,80,1.59,1016,sport,rural,1
43,82,210,19,49,2.69,1112,normal,urban,1
90,43,86,39,26,1.72,1648,sport,highway,0
49,48,138,-1,35,0.68,1139,sport,urban,0
99,90,163,21,67,0.55,1607,normal,urban,1
23,82,134,-2,59,0.93,1138,sport,highway,0
28,69,170,27,60,3.45,2234,sport,rural,1
66,83,30,17,75,2.96,1365,eco,rural,1
39,45,129,36,30,0.72,1987,sport,rural,1
32,55,123,43,47,2.17,1385,eco,rural,0
26,20,207,17,75,3.93,1214,normal,rural,1
43,33,117,37,38,1.17,1019,sport,highway,1
52,68,240,38,23,2.11,1115,eco,highway,0
54,33,138,14,49,1.51,2468,normal,highway,0
27,43,153,11,68,1.63,1572,eco,rural,0
51,57,223,18,70,4.88,1652,normal,highway,0
28,70,201,11,69,3.66,1255,eco,highway,1
77,95,276,10,51,2.73,1160,eco,rural,1
43,31,184,7,60,2.45,2026,eco,rural,1
65,38,227,-9,38,1.32,1954,sport,rural,0
88,48,220,25,87,4.92,1170,eco,urban,1
94,29,162,0,51,3.67,1827,eco,urban,0
45,25,226,0,35,3.86,1661,eco,highway,0
71,86,135,14,20,0.5,2465,eco,highway,0
49,66,278,12,64,4.14,2364,sport,rural,0
44,57,236,31,34,0.74,2061,normal,rural,0
77,62,156,15,28,4.98,1304,eco,urban,0
88,45,200,11,41,0.74,1869,eco,rural,0
87,46,213,3,33,3.56,1140,eco,rural,0
38,76,271,2,84,1.5,1658,normal,rural,1
24,73,17,30,65,4.85,1843,normal,rural,0
73,48,132,41,81,2.51,1329,eco,highway,0
78,20,108,-3,43,3.95,1617,sport,highway,1
20,72,212,18,56,4.38,2281,sport,rural,1
35,74,29,29,88,1.23,1335,normal,highway,1
33,29,108,10,59,3.23,1620,normal,urban,1
32,39,93,16,38,0.7,2456,eco,highway,0
52,39,201,27,43,2.75,1822,normal,rural,1
85,52,251,22,34,1.16,2034,sport,highway,0
50,70,290,-9,87,3.73,1229,sport,highway,0
31,36,234,-1,71,2.29,1383,sport,urban,1
22,36,163,0,58,0.62,2035,sport,urban,1
71,46,260,44,22,2.96,1204,sport,highway,0
31,59,299,20,38,4.39,1026,sport,highway,0
76,43,242,-2,46,2.2,1122,sport,highway,1
46,44,214,8,42,4.02,2068,eco,rural,1
85,88,298,21,82,3.16,2230,normal,highway,1
87,70,89,12,27,1.77,1058,normal,rural,0
55,68,273,24,67,3.91,1618,eco,rural,1
38,59,86,9,31,4.7,2245,normal,urban,0
54,83,217,14,44,2.59,2236,eco,highway,1
28,32,34,-10,55,4.82,1070,normal,urban,1
30,57,254,-9,23,3.1,2306,sport,highway,0
70,78,225,44,53,2.03,1288,normal,highway,0
24,73,17,30,65,4.85,1843,normal,rural,0
44,59,215,3,81,2.83,1824,eco,highway,1
39,40,32,27,78,4.28,1508,sport,urban,1
40,40,209,-2,77,4.25,2426,normal,urban,1
89,71,146,41,34,3.68,2271,sport,rural,1
20,35,208,25,40,3.62,1916,eco,highway,1
54,20,279,39,64,2.7,1517,normal,urban,0
95,28,31,-1,28,4.51,1311,normal,rural,0
26,21,84,24,67,1.92,2152,normal,rural,0
38,81,267,22,83,0.96,1864,eco,highway,1
75,53,152,36,64,3.66,1837,sport,rural,1
95,51,68,-1,74,3.97,1484,normal,rural,1
94,81,275,-10,76,3.12,1573,eco,rural,0
94,29,162,0,51,3.67,1827,eco,urban,0
58,33,82,41,21,2.79,1194,eco,rural,0
86,61,162,2,40,1.82,1470,sport,rural,1
55,64,16,8,36,4.97,2435,sport,rural,1
64,76,274,35,86,1.23,1768,sport,highway,1
63,46,119,-3,86,2.21,1391,sport,rural,1
27,82,48,2,36,2.8,1917,sport,rural,0
41,29,117,9,65,1.02,1887,sport,rural,0
23,70,268,-7,73,1.83,2030,eco,rural,1
25,64,225,-8,35,2.33,1369,sport,urban,0
45,25,226,0,35,3.86,1661,eco,highway,0
88,78,251,20,30,0.67,1894,eco,rural,0
38,20,283,30,22,3.18,1096,eco,highway,0
41,97,159,6,27,1.36,1250,normal,urban,1
77,85,238,25,40,4.55,1117,eco,highway,0
49,20,260,40,73,1.43,2432,eco,urban,0
90,49,283,-1,76,1.41,2437,eco,highway,1
70,44,23,44,48,2.27,1750,eco,highway,0
48,30,156,23,85,0.85,1592,eco,highway,0
99,24,202,31,88,4.02,1821,sport,rural,1
64,92,111,21,74,3.71,1989,normal,urban,1
63,62,70,27,65,3.32,1820,eco,highway,1
74,70,165,4,68,1.34,1316,eco,highway,1
63,21,270,18,45,4.12,1038,normal,highway,1
54,83,217,14,44,2.59,2236,eco,highway,1
54,22,143,-8,89,4.33,1644,sport,urban,0
21,32,298,17,80,1.59,2184,sport,urban,1
43,45,235,20,33,4.68,1368,sport,urban,1
20,70,236,3,52,2.24,1801,normal,highway,1
47,46,12,11,73,0.8,1053,normal,rural,0
94,46,253,14,48,1.13,2147,normal,rural,0
95,44,140,31,29,1.8,2092,eco,highway,1
94,59,178,-10,89,1.72,2466,normal,rural,1
90,56,229,7,47,4.78,1790,sport,rural,0
80,50,192,26,78,3.17,1820,normal,urban,0
39,45,129,36,30,0.72,1987,sport,rural,1
77,23,111,35,81,4.64,1155,eco,rural,1
41,29,117,9,65,1.02,1887,sport,rural,0
93,28,254,19,60,2.16,1677,normal,rural,1
71,77,298,7,80,3.23,2014,normal,urban,1
40,48,285,13,54,2.83,2145,eco,urban,0
63,62,70,27,65,3.32,1820,eco,highway,1
38,64,26,26,62,1.84,1134,sport,rural,0
91,98,204,-3,51,0.73,1859,normal,urban,1
84,42,20,21,88,0.59,2338,eco,urban,1
44,57,208,30,55,4.35,1886,normal,highway,0
72,98,25,11,83,4.75,1229,normal,highway,0
65,68,238,21,57,4.63,1334,normal,rural,1
91,24,48,23,41,4.06,1153,eco,highway,0
22,89,31,1,70,3.4,1087,sport,rural,0
26,38,128,29,55,4.18,2260,normal,rural,1
97,84,21,37,83,2.93,1582,normal,rural,0
42,97,213,35,27,2.64,1904,normal,rural,0
92,36,12,30,80,0.99,2082,eco,rural,1
85,34,73,12,76,4.54,1494,sport,highway,0
35,44,277,30,73,2.43,1941,normal,rural,0
44,24,242,29,72,3.53,2150,normal,highway,0
51,75,260,5,77,1.95,2134,eco,rural,1
47,46,12,11,73,0.8,1053,normal,rural,0
67,21,280,-9,20,1.11,1802,normal,rural,0
73,96,42,-5,79,4.2,1924,sport,urban,0
80,43,96,0,39,2.17,1715,eco,urban,0
43,71,179,-5,21,3.33,1386,sport,highway,1
38,36,142,11,52,2.47,1689,eco,rural,1
59,48,93,4,41,4.04,1824,eco,highway,1
23,28,72,-2,89,1.69,2341,eco,urban,0
21,36,65,5,87,3.14,1060,normal,urban,1
28,21,145,21,60,4.93,1649,sport,rural,1
95,46,170,5,66,4.02,1673,sport,highway,1
42,27,294,-9,38,2.85,2423,sport,urban,0
51,87,11,-7,82,4.15,1205,normal,highway,1
81,75,129,33,75,4.76,2150,sport,urban,0
61,48,131,28,65,1.16,1957,normal,rural,0
73,91,282,25,43,0.68,2227,eco,urban,1
32,74,291,32,68,4.73,1249,eco,highway,1
35,57,101,40,77,1.13,1114,eco,rural,1
41,34,204,-9,30,2.16,1276,eco,rural,0
99,52,88,5,31,1.45,1713,normal,urban,0
80,48,288,24,42,4.38,1867,sport,highway,0
77,23,111,35,81,4.64,1155,eco,rural,1
69,25,26,-10,59,4.84,2211,eco,rural,0
77,58,245,7,54,2.17,1725,sport,rural,0
76,97,154,33,29,2.33,1841,sport,rural,0
83,54,113,20,22,1.22,2120,eco,highway,0
99,24,202,31,88,4.02,1821,sport,rural,1
78,78,47,44,56,4.58,1150,sport,urban,1
71,76,285,17,30,1.77,2115,eco,rural,0
63,62,70,27,65,3.32,1820,eco,highway,1
74,27,68,33,36,3.99,2187,normal,highway,0
28,72,283,8,88,1.86,1449,eco,urban,0
55,33,173,19,28,2.16,1120,eco,urban,1
57,83,260,13,66,2.16,2408,normal,highway,1
67,85,46,-5,61,3.71,2162,normal,highway,1
46,66,85,5,21,2.27,1394,normal,highway,1
28,72,283,8,88,1.86,1449,eco,urban,0
99,84,110,-10,28,4.22,1018,sport,rural,0
77,93,86,6,65,1.67,1146,sport,rural,1
46,79,266,-10,32,2.21,1566,eco,rural,0
50,70,290,-9,87,3.73,1229,sport,highway,0
32,74,291,32,68,4.73,1249,eco,highway,1
55,64,16,8,36,4.97,2435,sport,rural,1
57,32,226,28,20,0.64,2424,eco,highway,0
22,89,31,1,70,3.4,1087,sport,rural,0
26,98,83,12,82,2.24,2275,normal,highway,1
51,37,101,9,58,2.84,1638,sport,highway,0
39,45,28,38,68,3.63,2401,normal,highway,0
54,33,138,14,49,1.51,2468,normal,highway,0
61,23,172,41,45,2.72,1419,eco,highway,1
38,91,197,10,66,4.3,1294,normal,urban,0
48,47,37,34,53,3.45,1833,normal,urban,1
40,88,34,38,23,3.9,1568,normal,highway,0
70,54,30,22,20,2.82,1051,sport,urban,1
37,65,52,11,53,4.18,1055,sport,rural,0
33,23,269,26,24,1.85,2271,normal,highway,0
33,72,35,31,45,2.04,1830,normal,highway,1
43,73,165,33,62,3.53,2114,eco,urban,0
46,45,276,24,69,1.85,1643,sport,highway,1
64,92,111,21,74,3.71,1989,normal,urban,1
58,34,59,30,39,3.97,1498,eco,urban,0
35,44,277,30,73,2.43,1941,normal,rural,0
27,59,166,-9,51,3.82,1068,normal,highway,0
89,83,164,7,76,3.87,1832,eco,highway,1
58,56,138,21,43,1.73,1902,normal,rural,1
83,54,113,20,22,1.22,2120,eco,highway,0
68,75,99,25,42,3.68,2198,eco,rural,1
32,82,216,8,83,1.99,1718,eco,rural,1
38,23,48,3,82,3.83,2392,normal,urban,0
57,32,226,28,20,0.64,2424,eco,highway,0
68,79,81,42,53,2.84,1136,eco,urban,0
72,24,208,34,30,3.97,1260,sport,highway,0
65,56,59,-7,63,0.58,1629,sport,urban,0
23,28,72,-2,89,1.69,2341,eco,urban,0
32,74,291,32,68,4.73,1249,eco,highway,1
46,79,266,-10,32,2.21,1566,eco,rural,0
23,23,185,28,33,3.31,1680,sport,rural,0
34,83,256,-4,37,3.15,1402,normal,rural,1
39,81,215,12,51,2.12,1548,eco,urban,0
86,59,46,24,21,4.07,2410,sport,urban,1
52,36,102,7,72,3.77,2363,eco,urban,1
93,28,254,19,60,2.16,1677,normal,rural,1
67,85,46,-5,61,3.71,2162,normal,highway,1
63,62,70,27,65,3.32,1820,eco,highway,1
61,79,35,42,34,4.13,1715,eco,highway,0
81,65,96,28,72,4.34,2305,eco,highway,0
85,30,38,3,61,2.37,2007,eco,rural,0
83,68,158,43,39,1.19,2107,eco,highway,1
81,66,174,25,62,2.74,1347,sport,highway,1
21,39,270,33,25,0.96,1531,sport,urban,1
31,71,50,-3,23,4.63,1291,sport,highway,0
83,41,36,2,39,4.84,1828,normal,highway,0
93,90,204,-3,31,0.66,1002,sport,highway,1
81,85,149,-7,61,2.52,2177,eco,highway,1
43,94,140,-10,65,0.63,1541,normal,highway,0
33,31,140,38,38,2.9,1585,eco,urban,1
21,39,270,33,25,0.96,1531,sport,urban,1
90,89,18,10,49,3.46,1045,sport,highway,0
84,52,23,-3,47,3.1,1731,sport,highway,1
94,46,253,14,48,1.13,2147,normal,rural,0
25,44,111,2,79,4.76,1203,sport,highway,0
20,44,49,34,43,0.82,1962,normal,urban,1
63,91,154,-3,24,1.9,2010,eco,rural,1
95,46,170,5,66,4.02,1673,sport,highway,1
77,85,238,25,40,4.55,1117,eco,highway,0
28,75,81,25,23,4.12,1609,eco,rural,1
47,74,145,2,30,4.09,1479,eco,rural,0
52,92,184,9,38,3.71,2467,sport,urban,1
52,70,109,10,70,0.7,1533,eco,urban,1
37,37,231,20,47,3.98,1413,normal,highway,0
38,91,197,10,66,4.3,1294,normal,urban,0
79,61,188,12,66,4.03,1637,normal,highway,1
94,66,294,34,55,2.56,1973,sport,highway,1
43,71,179,-5,21,3.33,1386,sport,highway,1
40,69,67,35,53,2.02,2412,sport,rural,1
86,84,297,7,23,3.4,1195,normal,urban,1
52,23,24,17,49,0.58,1075,normal,rural,1
38,51,10,-6,36,2.34,2391,sport,urban,1
86,89,120,11,74,4.78,2358,normal,urban,0
58,70,41,14,54,1.61,1619,normal,highway,0
58,56,138,21,43,1.73,1902,normal,rural,1
28,70,201,11,69,3.66,1255,eco,highway,1
79,64,232,17,44,1.59,1945,sport,rural,1
47,74,145,2,30,4.09,1479,eco,rural,0
27,97,95,26,79,2.5,1016,eco,highway,0
89,52,54,42,59,1.74,1489,eco,urban,0
84,55,89,17,86,1.51,1633,eco,rural,0
73,55,60,10,75,1.31,2287,normal,rural,0
52,97,286,-6,36,2.29,1596,sport,highway,1
52,68,240,38,23,2.11,1115,eco,highway,0
24,73,17,30,65,4.85,1843,normal,rural,0
99,42,170,6,50,4.45,1668,normal,highway,0
60,70,43,24,74,2.68,1147,sport,rural,1
90,93,208,15,65,3.11,1217,sport,urban,0
28,21,145,21,60,4.93,1649,sport,rural,1
23,59,280,-5,87,0.54,1880,eco,urban,1
35,74,29,29,88,1.23,1335,normal,highway,1
65,33,17,23,28,3.98,1546,eco,urban,0
97,70,126,13,39,2.31,2348,sport,rural,1
71,93,237,10,87,1.53,2436,sport,urban,0
35,57,101,40,77,1.13,1114,eco,rural,1
61,23,172,41,45,2.72,1419,eco,highway,1
27,80,296,12,36,1.49,1634,sport,urban,0
66,45,21,36,31,2.25,1558,sport,urban,0
81,68,71,43,33,0.85,1656,normal,rural,0
73,91,282,9,52,2.07,1894,normal,rural,0
73,78,278,11,59,2.81,1238,eco,urban,0
38,51,10,-6,36,2.34,2391,sport,urban,1
23,70,268,-7,73,1.83,2030,eco,rural,1
28,93,95,10,37,2.4,1527,eco,rural,0
63,21,270,18,45,4.12,1038,normal,highway,1
28,69,170,27,60,3.45,2234,sport,rural,1
86,89,120,11,74,4.78,2358,normal,urban,0
26,38,128,29,55,4.18,2260,normal,rural,1
79,22,68,13,43,0.76,1337,eco,highway,1
52,29,235,3,22,4.46,1241,sport,highway,1
21,32,298,17,80,1.59,2184,sport,urban,1
78,78,47,44,56,4.58,1150,sport,urban,1
25,84,91,14,77,3.29,2497,eco,rural,1
21,96,26,33,77,2.23,2306,normal,urban,1
27,31,62,4,33,1.25,1395,normal,rural,0
67,24,182,10,71,3.06,2337,normal,highway,0
90,93,208,15,65,3.11,1217,sport,urban,0
34,83,256,-4,37,3.15,1402,normal,rural,1
52,40,186,18,86,2.75,2387,eco,highway,0
52,42,13,4,46,3.55,1962,sport,rural,1
29,71,75,31,54,3.35,1338,eco,highway,0
79,93,25,38,57,2.06,2415,sport,highway,1
28,75,81,25,23,4.12,1609,eco,rural,1
31,59,299,20,38,4.39,1026,sport,highway,0
54,22,143,-8,89,4.33,1644,sport,urban,0
32,68,75,8,74,1.58,1332,eco,highway,0
44,57,208,30,55,4.35,1886,normal,highway,0
70,78,225,44,53,2.03,1288,normal,highway,0
85,31,250,-3,26,3.26,1261,normal,rural,1
44,26,111,20,85,0.76,1288,normal,rural,1
89,52,54,42,59,1.74,1489,eco,urban,0
67,63,21,41,38,0.97,1874,sport,rural,1
79,52,284,43,32,3.21,1049,sport,urban,1
63,46,119,-3,86,2.21,1391,sport,rural,1
76,43,242,-2,46,2.2,1122,sport,highway,1
38,76,271,2,84,1.5,1658,normal,rural,1
27,88,271,20,40,4.26,2334,normal,urban,1
34,24,115,26,33,3.34,1194,normal,rural,1
49,97,24,5,23,0.59,1621,eco,urban,0
22,96,90,10,35,2.99,1390,sport,highway,1
88,48,220,25,87,4.92,1170,eco,urban,1
70,20,252,41,81,2.85,1793,sport,urban,0
95,46,170,5,66,4.02,1673,sport,highway,1
72,95,82,16,49,2.88,1448,normal,urban,0
87,24,294,-2,22,1.47,1454,sport,urban,0
36,60,54,10,84,1.78,1588,eco,urban,1
81,66,174,25,62,2.74,1347,sport,highway,1
64,57,201,44,22,0.69,1657,sport,urban,0
54,82,173,-10,44,2.78,1220,eco,urban,0
22,96,90,10,35,2.99,1390,sport,highway,1
93,26,184,25,85,1.86,1615,normal,urban,0
72,72,297,13,73,4.85,1360,normal,rural,0
33,23,269,26,24,1.85,2271,normal,highway,0
67,85,46,-5,61,3.71,2162,normal,highway,1
43,54,183,4,79,1.06,1424,eco,highway,0
97,99,235,34,56,3.59,1946,normal,urban,1
27,48,95,35,23,1.38,2019,sport,rural,1
43,87,219,38,31,2.12,2230,normal,rural,0
56,27,251,32,71,3.92,1771,normal,highway,1
34,84,133,7,26,2.77,1076,eco,highway,1
58,87,135,3,27,0.51,2493,sport,rural,0
96,20,132,12,26,2.75,1072,eco,highway,0
51,40,186,21,55,3.96,2260,normal,urban,1
57,86,151,-1,29,3.69,2201,eco,urban,0
56,85,129,0,39,1.42,1670,eco,urban,1
41,50,112,41,58,1.81,1411,eco,rural,1
70,29,298,28,76,2.25,1757,normal,urban,0
77,85,238,25,40,4.55,1117,eco,highway,0
81,32,163,28,36,4.63,2405,eco,rural,1
36,85,81,40,41,2.56,2270,normal,highway,1
49,66,278,12,64,4.14,2364,sport,rural,0
79,22,68,13,43,0.76,1337,eco,highway,1
70,44,23,44,48,2.27,1750,eco,highway,0
82,85,234,-7,40,3.36,1246,normal,highway,1
39,32,294,16,27,3.43,1963,normal,highway,0
23,23,185,28,33,3.31,1680,sport,rural,0
51,81,55,21,22,1.7,1464,sport,rural,0
35,86,190,6,38,2.41,2288,sport,urban,1
70,52,224,11,89,2.94,1214,normal,urban,0
93,22,197,-6,79,4.59,2368,sport,urban,0
21,56,275,5,40,3.01,1568,sport,highway,0
85,88,298,21,82,3.16,2230,normal,highway,1
94,74,273,44,66,3.48,2292,normal,highway,0
85,30,38,3,61,2.37,2007,eco,rural,0
64,53,187,-8,74,2.69,2189,sport,highway,1
50,43,178,3,57,3.71,1383,eco,highway,1
65,68,238,21,57,4.63,1334,normal,rural,1
50,70,290,-9,87,3.73,1229,sport,highway,0
38,36,142,11,52,2.47,1689,eco,rural,1
67,59,161,24,67,3.04,1424,sport,highway,1
50,43,178,3,57,3.71,1383,eco,highway,1
79,64,232,17,44,1.59,1945,sport,rural,1
78,89,244,22,58,0.71,1493,eco,rural,0
51,29,156,43,62,4.12,2327,eco,highway,0
65,33,17,23,28,3.98,1546,eco,urban,0
43,87,219,38,31,2.12,2230,normal,rural,0
51,37,101,9,58,2.84,1638,sport,highway,0
20,79,131,10,49,4.78,2348,sport,highway,1
81,69,107,36,79,3.75,1207,normal,urban,0
71,74,21,34,40,4.29,1567,eco,highway,1
22,94,162,35,68,3.75,1559,normal,rural,1
99,72,258,5,57,3.68,1720,sport,urban,1
38,23,48,3,82,3.83,2392,normal,urban,0
72,95,82,16,49,2.88,1448,normal,urban,0
96,46,116,22,43,0.54,2472,sport,highway,1
22,36,163,0,58,0.62,2035,sport,urban,1
38,74,254,-3,58,3.62,2378,sport,highway,0
77,93,86,6,65,1.67,1146,sport,rural,1
52,66,48,31,83,2.56,1845,sport,rural,1
88,82,13,37,69,3.38,2116,normal,rural,0
81,61,74,38,73,2.01,2230,normal,urban,0
55,37,116,29,65,2.39,2279,eco,urban,0
90,56,229,7,47,4.78,1790,sport,rural,0
77,35,160,-7,88,1.54,1489,eco,highway,1
71,86,135,14,20,0.5,2465,eco,highway,0
40,48,285,13,54,2.83,2145,eco,urban,0
45,25,226,0,35,3.86,1661,eco,highway,0
85,52,251,22,34,1.16,2034,sport,highway,0
96,37,152,28,40,2.05,1974,eco,urban,1
83,59,293,9,80,4.76,1897,sport,highway,1
38,36,246,12,80,3.57,2337,sport,rural,1
51,50,12,29,47,4.04,1574,eco,highway,0
72,24,208,34,30,3.97,1260,sport,highway,0
67,21,280,-9,20,1.11,1802,normal,rural,0
94,29,162,0,51,3.67,1827,eco,urban,0
52,23,24,17,49,0.58,1075,normal,rural,1
26,20,207,17,75,3.93,1214,normal,rural,1
71,37,185,5,56,4.91,1736,eco,highway,0
87,70,89,12,27,1.77,1058,normal,rural,0
37,45,168,22,49,2.94,1386,normal,rural,1
47,27,215,21,32,4.44,1570,normal,urban,0
69,25,26,-10,59,4.84,2211,eco,rural,0
21,21,27,37,34,3.48,2255,eco,urban,0
76,40,150,16,66,2.28,1892,eco,rural,1
60,69,35,41,26,2.63,1020,eco,highway,0
21,39,270,33,25,0.96,1531,sport,urban,1
89,52,54,42,59,1.74,1489,eco,urban,0
58,50,55,10,87,4.51,1769,normal,rural,0
64,57,278,21,82,2.19,1595,eco,highway,0
34,74,211,5,57,3.1,2257,normal,rural,0
72,95,82,16,49,2.88,1448,normal,urban,0
73,38,279,31,27,4.81,2152,normal,rural,1
71,80,250,28,60,4.23,2091,eco,urban,0
37,65,52,11,53,4.18,1055,sport,rural,0
66,45,21,36,31,2.25,1558,sport,urban,0
58,34,90,6,38,2.11,1068,eco,urban,0
68,79,81,42,53,2.84,1136,eco,urban,0
93,22,197,-6,79,4.59,2368,sport,urban,0
71,34,183,27,78,0.78,2312,sport,urban,0
40,60,157,-7,38,2.54,1499,sport,urban,0
56,27,251,32,71,3.92,1771,normal,highway,1
46,44,214,8,42,4.02,2068,eco,rural,1
56,27,251,32,71,3.92,1771,normal,highway,1
89,63,170,29,21,1.83,2392,sport,urban,1
65,56,59,-7,63,0.58,1629,sport,urban,0
26,20,207,17,75,3.93,1214,normal,rural,1
42,85,232,0,77,0.9,1741,normal,urban,0
33,31,140,38,38,2.9,1585,eco,urban,1
76,65,44,44,67,4.9,2403,sport,highway,0
72,51,193,38,52,1.87,1857,normal,urban,0
52,66,48,31,83,2.56,1845,sport,rural,1
76,81,280,14,58,3.67,2240,sport,rural,1
22,36,163,0,58,0.62,2035,sport,urban,1
81,33,18,25,67,1.83,2064,normal,rural,0
78,20,108,-3,43,3.95,1617,sport,highway,1
65,38,227,-9,38,1.32,1954,sport,rural,0
21,81,69,7,22,0.52,1062,eco,rural,1
59,48,93,4,41,4.04,1824,eco,highway,1
94,74,273,44,66,3.48,2292,normal,highway,0
91,98,204,-3,51,0.73,1859,normal,urban,1
87,24,294,-2,22,1.47,1454,sport,urban,0
27,87,271,-4,38,4.81,2001,eco,urban,0
42,97,213,35,27,2.64,1904,normal,rural,0
80,95,289,-8,88,2.32,1806,sport,highway,0
87,46,213,3,33,3.56,1140,eco,rural,0
82,85,234,-7,40,3.36,1246,normal,highway,1
53,87,247,34,52,4.92,2030,sport,highway,1
73,51,232,7,74,1.41,2491,eco,rural,0
28,93,95,10,37,2.4,1527,eco,rural,0
59,48,154,2,59,4.56,1733,eco,rural,1
55,33,173,19,28,2.16,1120,eco,urban,1
38,74,254,-3,58,3.62,2378,sport,highway,0
82,25,136,4,38,0.72,1924,eco,rural,1
84,69,150,0,66,1.79,1366,eco,urban,0
27,59,166,-9,51,3.82,1068,normal,highway,0
81,69,107,36,79,3.75,1207,normal,urban,0
88,72,259,27,80,2.11,2222,normal,urban,0
42,38,271,2,65,0.56,1816,normal,highway,1
97,76,24,22,43,1.06,2462,eco,urban,1
86,44,107,33,84,3.64,2152,sport,urban,0
36,83,69,23,45,3.55,2029,sport,rural,0
34,73,192,33,82,1.09,1021,sport,rural,0
73,91,282,9,52,2.07,1894,normal,rural,0
20,79,131,10,49,4.78,2348,sport,highway,1
74,46,273,11,72,2.94,2164,normal,urban,0
48,30,156,23,85,0.85,1592,eco,highway,0
21,21,27,37,34,3.48,2255,eco,urban,0
88,78,251,20,30,0.67,1894,eco,rural,0
25,55,273,-4,45,0.84,1757,normal,urban,0
83,28,297,34,60,0.83,1192,normal,highway,1
39,81,215,12,51,2.12,1548,eco,urban,0
27,97,95,26,79,2.5,1016,eco,highway,0
52,24,245,7,89,4.22,1559,sport,urban,0
73,68,93,25,82,1.7,1152,normal,highway,0
90,26,188,36,58,1.18,1043,sport,urban,0
91,98,204,-3,51,0.73,1859,normal,urban,1
82,71,38,14,89,2.72,2157,normal,rural,1
73,96,42,-5,79,4.2,1924,sport,urban,0
86,89,120,11,74,4.78,2358,normal,urban,0
23,24,152,-1,29,1.38,2052,eco,urban,0
57,57,101,43,35,1.0,2342,eco,rural,0
40,69,67,35,53,2.02,2412,sport,rural,1
94,81,275,-10,76,3.12,1573,eco,rural,0
46,23,68,22,89,2.11,1867,eco,urban,1
