Vehicle_ID,Battery_Type,Vehicle_Type,Ambient_Temperature,Distance_Driven_km,State_of_Charge_%,Battery_Capacity_kWh,Current_Speed_kmph,Energy_Consumed_kWh,Predicted_Value
EV0153,LiFePO4,SUV,6.9,494.9,66.8,39.8,111.2,98.98,in demand
EV2535,LiFePO4,SUV,5.7,72.7,67.4,76.4,9.6,14.54,not in demand
EV2349,NiMH,Sedan,28.9,338.6,39.4,31.1,60.7,67.72,in demand
EV1979,LiFePO4,Hatchback,32.5,155.7,26.9,99.7,67.4,31.14,not in demand
EV1470,LiFePO4,Sedan,14.0,472.1,38.3,50.1,73.9,94.42,in demand
EV2808,Li-ion,Hatchback,19.1,313.1,38.6,37.6,106.5,62.62,in demand
EV2513,LiFePO4,Hatchback,18.6,105.6,19.9,40.3,80.9,21.12,not in demand
EV2944,LiFePO4,Truck,37.5,397.9,41.9,52.5,41.1,79.58,in demand
EV2981,Li-ion,Truck,-8.9,229.9,86.4,24.3,106.2,45.98,in demand
EV3443,NiMH,Truck,15.1,42.8,77.3,67.4,74.6,8.56,not in demand
EV3018,NiMH,Hatchback,43.3,153.2,18.6,66.4,28.9,30.64,not in demand
EV1567,NiMH,SUV,24.1,159.1,50.5,54.6,84.8,31.82,not in demand
EV0032,LiFePO4,SUV,44.7,364.8,64.6,31.3,0.1,72.96,in demand
EV0938,LiFePO4,Truck,-4.4,311.0,69.6,98.8,31.6,62.2,in demand
EV1216,LiFePO4,Sedan,3.8,109.4,32.8,96.8,115.5,21.88,not in demand
EV1938,Li-ion,Hatchback,-9.1,178.7,11.3,93.7,28.0,35.74,not in demand
EV1130,Li-ion,SUV,5.9,341.4,16.9,76.6,4.8,68.28,in demand
EV0310,Li-ion,SUV,31.6,162.3,97.1,25.5,78.5,32.46,not in demand
EV3285,NiMH,Hatchback,-1.0,123.8,9.5,35.4,55.5,24.76,not in demand
EV2169,LiFePO4,SUV,38.6,469.6,3.4,58.2,72.6,93.92,in demand
EV3114,LiFePO4,SUV,6.1,184.4,35.5,47.4,20.5,36.88,not in demand
EV0496,NiMH,Hatchback,-7.0,207.9,33.5,30.1,45.7,41.58,in demand
EV0206,LiFePO4,Truck,20.7,427.9,83.4,97.9,80.2,85.58,in demand
EV2674,Li-ion,Hatchback,19.9,44.2,28.2,84.3,14.5,8.84,not in demand
EV3358,LiFePO4,Truck,35.8,490.8,16.8,30.8,27.9,98.16,in demand
EV0006,Li-ion,Truck,24.3,187.2,58.9,29.3,58.3,37.44,not in demand
EV0306,NiMH,Truck,14.8,491.3,73.3,51.7,37.1,98.26,in demand
EV0589,LiFePO4,Sedan,2.8,434.1,8.0,64.8,88.7,86.82,in demand
EV2202,Li-ion,Truck,29.5,19.1,63.8,55.9,44.0,3.82,not in demand
EV1062,NiMH,Hatchback,26.8,249.8,7.3,87.0,63.2,49.96,in demand
EV0844,NiMH,Truck,0.5,210.0,37.9,51.3,92.6,42.0,in demand
EV2758,LiFePO4,SUV,12.1,246.0,82.2,59.5,91.4,49.2,in demand
EV2252,Li-ion,Truck,24.9,411.7,81.0,25.7,17.5,82.34,in demand
EV0212,Li-ion,Truck,15.8,335.3,72.5,82.4,42.3,67.06,in demand
EV3481,NiMH,Sedan,24.2,483.0,88.4,53.3,12.3,96.6,in demand
EV0680,NiMH,Sedan,7.9,407.7,79.8,51.7,95.3,81.54,in demand
EV0566,NiMH,Hatchback,27.2,435.0,16.9,52.6,3.1,87.0,in demand
EV3291,LiFePO4,Hatchback,32.8,277.9,55.1,83.2,92.9,55.58,in demand
EV2391,Li-ion,Hatchback,9.8,332.6,98.3,32.8,54.1,66.52,in demand
EV0681,Li-ion,SUV,42.5,247.4,96.5,96.3,94.8,49.48,in demand
EV0181,Li-ion,Sedan,0.9,429.0,76.3,95.5,61.5,85.8,in demand
EV3018,NiMH,Hatchback,43.3,153.2,18.6,66.4,28.9,30.64,not in demand
EV2496,Li-ion,Sedan,29.5,309.0,90.6,21.4,91.6,61.8,in demand
EV2317,Li-ion,Truck,12.8,315.3,89.6,26.4,43.4,63.06,in demand
EV2168,NiMH,Truck,44.5,320.0,12.9,78.1,45.7,64.0,in demand
EV0279,Li-ion,Sedan,30.8,299.9,21.9,21.8,7.1,59.98,in demand
EV3014,Li-ion,SUV,7.2,461.7,72.5,39.6,115.4,92.34,in demand
EV1538,LiFePO4,Sedan,22.0,469.6,7.9,36.6,67.9,93.92,in demand
EV0433,Li-ion,SUV,24.5,227.2,71.3,28.3,101.4,45.44,in demand
EV0290,LiFePO4,Hatchback,-8.6,373.3,31.3,47.5,62.0,74.66,in demand
EV1028,NiMH,SUV,4.6,322.0,83.7,54.3,5.4,64.4,in demand
EV0536,NiMH,Truck,-7.0,131.2,27.7,96.1,95.6,26.24,not in demand
EV3009,LiFePO4,SUV,43.2,281.9,40.6,87.9,49.0,56.38,in demand
EV0189,NiMH,Sedan,27.2,466.3,6.9,96.8,114.1,93.26,in demand
EV2175,NiMH,Sedan,-7.2,410.2,68.5,45.9,70.4,82.04,in demand
EV2659,Li-ion,Hatchback,29.9,465.7,32.6,38.6,98.0,93.14,in demand
EV1863,NiMH,Sedan,-8.3,177.5,44.4,77.5,71.7,35.5,not in demand
EV0271,Li-ion,SUV,33.3,7.3,1.7,45.4,59.5,1.46,not in demand
EV1729,NiMH,Hatchback,6.8,124.9,41.4,96.1,75.9,24.98,not in demand
EV0647,Li-ion,Sedan,-6.0,50.9,83.3,83.4,76.9,10.18,not in demand
EV2158,LiFePO4,SUV,-5.0,465.5,27.3,90.2,0.4,93.1,in demand
EV0786,Li-ion,Sedan,22.3,138.7,88.6,53.9,73.3,27.74,not in demand
EV0112,NiMH,Sedan,20.3,280.2,76.1,49.6,79.1,56.04,in demand
EV2385,LiFePO4,Sedan,31.5,235.0,19.0,86.1,69.7,47.0,in demand
EV0221,Li-ion,Truck,27.3,307.5,29.7,30.2,39.0,61.5,in demand
EV0628,NiMH,SUV,4.3,363.3,76.8,41.1,40.5,72.66,in demand
EV1182,NiMH,Truck,29.3,18.5,96.1,77.4,27.7,3.7,not in demand
EV3382,NiMH,SUV,-8.9,79.4,54.4,76.0,117.8,15.88,not in demand
EV2423,NiMH,SUV,-5.0,16.1,20.7,61.0,104.9,3.22,not in demand
EV0791,Li-ion,Hatchback,15.9,293.6,0.6,93.8,108.6,58.72,in demand
EV2343,LiFePO4,Hatchback,-5.8,476.3,42.1,58.2,46.4,95.26,in demand
EV0462,Li-ion,Sedan,20.7,455.8,46.4,24.2,10.7,91.16,in demand
EV1996,Li-ion,Hatchback,30.2,255.4,9.9,54.9,1.9,51.08,in demand
EV0552,Li-ion,Truck,34.2,18.1,88.6,93.8,46.0,3.62,not in demand
EV3130,LiFePO4,Hatchback,43.5,164.5,41.1,31.0,54.4,32.9,not in demand
EV1445,Li-ion,Truck,22.2,195.9,19.3,85.8,11.6,39.18,not in demand
EV0199,NiMH,Sedan,6.3,196.0,22.6,44.7,4.8,39.2,not in demand
EV2590,Li-ion,SUV,38.2,205.5,69.7,35.8,68.8,41.1,in demand
EV0403,LiFePO4,Truck,0.8,279.9,13.7,63.7,24.4,55.98,in demand
EV1889,NiMH,SUV,5.0,344.4,92.1,94.1,18.5,68.88,in demand
EV3085,NiMH,SUV,42.9,218.6,14.1,67.2,36.2,43.72,in demand
EV3230,NiMH,Hatchback,2.8,67.4,81.0,61.1,41.2,13.48,not in demand
EV2096,LiFePO4,SUV,9.8,206.3,42.2,87.1,63.8,41.26,in demand
EV2901,LiFePO4,Truck,9.2,398.4,20.1,31.1,62.7,79.68,in demand
EV2808,Li-ion,Hatchback,19.1,313.1,38.6,37.6,106.5,62.62,in demand
EV0651,LiFePO4,Hatchback,31.2,330.2,59.2,82.8,111.2,66.04,in demand
EV0709,Li-ion,SUV,5.6,10.1,78.0,86.5,33.2,2.02,not in demand
EV1481,Li-ion,Sedan,-5.0,257.3,49.5,26.8,86.4,51.46,in demand
EV0947,Li-ion,SUV,22.0,477.9,75.2,93.6,43.6,95.58,in demand
EV3066,Li-ion,SUV,7.5,270.5,83.2,25.9,2.0,54.1,in demand
EV2396,LiFePO4,Hatchback,17.1,239.6,27.9,33.9,13.2,47.92,in demand
EV1770,Li-ion,SUV,18.9,56.7,93.2,86.0,72.0,11.34,not in demand
EV0315,LiFePO4,Truck,30.1,154.8,63.0,43.4,77.9,30.96,not in demand
EV0800,LiFePO4,Truck,37.0,383.4,35.0,61.8,7.7,76.68,in demand
EV2402,NiMH,Truck,3.1,242.5,68.9,22.6,8.3,48.5,in demand
EV0114,LiFePO4,Hatchback,5.5,397.9,0.8,73.5,23.1,79.58,in demand
EV0961,Li-ion,Truck,4.2,178.7,52.3,81.3,32.6,35.74,not in demand
EV2911,NiMH,Hatchback,11.6,33.0,26.9,88.0,97.4,6.6,not in demand
EV3406,NiMH,Hatchback,17.7,376.5,94.8,39.0,106.8,75.3,in demand
EV1624,Li-ion,SUV,18.6,298.3,91.6,23.2,90.0,59.66,in demand
EV3323,Li-ion,Truck,6.8,127.0,44.3,22.8,91.1,25.4,not in demand
EV0431,LiFePO4,SUV,22.3,168.2,50.7,34.5,55.2,33.64,not in demand
EV1819,Li-ion,Truck,15.8,43.4,32.6,32.1,38.5,8.68,not in demand
EV3195,NiMH,Hatchback,37.1,316.3,53.8,78.0,93.5,63.26,in demand
EV3008,NiMH,Hatchback,5.1,28.4,43.5,85.1,88.7,5.68,not in demand
EV3415,NiMH,Hatchback,27.5,70.3,90.7,97.4,56.0,14.06,not in demand
EV0080,NiMH,Hatchback,35.6,87.3,62.2,90.1,8.0,17.46,not in demand
EV1898,NiMH,Hatchback,23.0,251.6,31.1,37.0,41.1,50.32,in demand
EV1919,Li-ion,Hatchback,-8.3,30.8,73.5,64.2,27.2,6.16,not in demand
EV1271,Li-ion,Truck,4.9,417.8,25.2,55.1,69.8,83.56,in demand
EV2044,NiMH,Truck,24.1,137.8,71.0,53.3,108.7,27.56,not in demand
EV2998,Li-ion,Sedan,-7.9,438.9,17.8,95.8,69.0,87.78,in demand
EV1941,Li-ion,Truck,39.7,77.8,47.6,70.7,36.3,15.56,not in demand
EV2919,LiFePO4,Hatchback,3.7,126.6,98.1,28.2,108.7,25.32,not in demand
EV3160,Li-ion,Hatchback,14.2,361.3,89.1,99.4,40.6,72.26,in demand
EV1814,LiFePO4,SUV,41.1,6.3,28.3,89.4,115.6,1.26,not in demand
EV2427,Li-ion,Hatchback,1.5,214.7,96.6,79.8,83.1,42.94,in demand
EV0668,LiFePO4,Hatchback,-7.9,163.8,94.4,65.3,108.8,32.76,not in demand
EV0073,NiMH,SUV,26.6,158.3,49.9,59.2,81.1,31.66,not in demand
EV2143,Li-ion,Truck,11.1,419.4,20.7,56.9,44.6,83.88,in demand
EV1627,LiFePO4,SUV,35.0,123.5,52.5,60.4,60.0,24.7,not in demand
EV0790,NiMH,Hatchback,0.6,162.0,70.0,76.6,71.4,32.4,not in demand
EV3484,Li-ion,Sedan,12.7,397.5,43.3,30.3,47.6,79.5,in demand
EV1865,LiFePO4,Hatchback,24.8,336.6,12.0,93.6,71.5,67.32,in demand
EV2866,Li-ion,Hatchback,12.8,72.4,74.2,35.7,17.4,14.48,not in demand
EV0872,NiMH,SUV,16.7,266.3,58.9,92.7,91.9,53.26,in demand
EV3272,LiFePO4,SUV,11.5,336.5,52.4,99.9,62.1,67.3,in demand
EV1883,LiFePO4,Sedan,-1.9,157.9,63.3,33.5,20.2,31.58,not in demand
EV0074,NiMH,Hatchback,44.4,335.6,35.0,52.4,76.9,67.12,in demand
EV1753,LiFePO4,Sedan,25.4,191.5,78.6,45.2,27.0,38.3,not in demand
EV1422,NiMH,Hatchback,-1.0,329.7,29.7,43.3,30.6,65.94,in demand
EV1896,NiMH,Hatchback,-9.2,1.4,90.0,32.0,113.8,0.28,not in demand
EV1658,NiMH,SUV,2.4,267.2,1.9,45.4,9.7,53.44,in demand
EV3296,Li-ion,Hatchback,39.2,322.4,92.0,93.2,68.9,64.48,in demand
EV2383,LiFePO4,Hatchback,20.1,375.0,38.7,62.2,101.5,75.0,in demand
EV2836,NiMH,Sedan,11.0,373.4,73.5,30.9,55.6,74.68,in demand
EV2245,NiMH,Sedan,-3.1,77.6,93.9,67.7,40.9,15.52,not in demand
EV3048,LiFePO4,Hatchback,30.5,382.3,15.3,88.6,13.8,76.46,in demand
EV2446,LiFePO4,Sedan,17.5,155.6,39.0,63.4,55.0,31.12,not in demand
EV0495,NiMH,SUV,8.1,265.2,24.4,64.4,32.2,53.04,in demand
EV3131,Li-ion,Sedan,14.1,47.4,83.8,83.4,30.4,9.48,not in demand
EV0591,LiFePO4,Hatchback,24.6,0.9,19.8,42.5,108.4,0.18,not in demand
EV1111,Li-ion,Sedan,40.5,313.8,17.6,25.8,8.2,62.76,in demand
EV1165,LiFePO4,Sedan,13.5,106.7,32.3,98.9,106.7,21.34,not in demand
EV3144,Li-ion,Sedan,10.2,428.3,76.2,47.4,98.4,85.66,in demand
EV1731,NiMH,Hatchback,-6.5,249.4,21.3,35.4,56.7,49.88,in demand
EV0989,Li-ion,SUV,33.1,107.9,3.2,40.2,78.6,21.58,not in demand
EV2403,Li-ion,SUV,11.4,453.1,87.2,27.1,94.8,90.62,in demand
EV3404,NiMH,SUV,1.7,417.8,31.9,75.7,27.9,83.56,in demand
EV0619,NiMH,Hatchback,27.0,405.4,19.7,29.6,100.3,81.08,in demand
EV1698,LiFePO4,Truck,34.3,313.2,69.1,76.6,54.0,62.64,in demand
EV2211,Li-ion,SUV,-8.8,485.7,67.8,25.3,118.6,97.14,in demand
EV1958,LiFePO4,Truck,0.5,413.5,65.9,46.0,36.6,82.7,in demand
EV1222,LiFePO4,Hatchback,-6.9,18.3,85.7,73.1,117.3,3.66,not in demand
EV2074,NiMH,Hatchback,-6.6,59.0,80.4,61.8,63.1,11.8,not in demand
EV3411,NiMH,Hatchback,43.4,273.3,1.5,20.3,100.6,54.66,in demand
EV0870,LiFePO4,SUV,-3.8,342.8,15.8,81.5,102.8,68.56,in demand
EV2719,LiFePO4,SUV,-0.1,208.7,27.3,51.6,11.9,41.74,in demand
EV1043,LiFePO4,Hatchback,30.9,489.2,87.9,35.5,113.0,97.84,in demand
EV1362,NiMH,Truck,31.8,380.9,56.8,42.5,4.9,76.18,in demand
EV0357,Li-ion,Truck,0.7,394.9,75.8,70.3,38.0,78.98,in demand
EV1163,NiMH,Truck,37.5,416.0,0.8,97.0,85.9,83.2,in demand
EV2766,Li-ion,Hatchback,30.5,326.4,28.3,85.5,111.8,65.28,in demand
EV3253,LiFePO4,SUV,13.4,275.0,71.0,88.7,54.4,55.0,in demand
EV1439,NiMH,Sedan,6.3,20.7,33.1,39.8,115.2,4.14,not in demand
EV2921,Li-ion,Sedan,-0.8,83.6,73.7,70.4,91.6,16.72,not in demand
EV3471,Li-ion,Hatchback,24.7,136.0,75.9,35.4,113.6,27.2,not in demand
EV1645,NiMH,Truck,-7.0,77.0,57.0,33.2,50.7,15.4,not in demand
EV3093,LiFePO4,Sedan,16.7,462.3,45.8,90.8,30.5,92.46,in demand
EV1254,Li-ion,Truck,41.8,63.1,6.7,43.9,49.0,12.62,not in demand
EV3366,Li-ion,Sedan,44.1,81.3,60.2,93.9,26.4,16.26,not in demand
EV0333,Li-ion,Sedan,43.0,158.0,69.5,39.9,29.7,31.6,not in demand
EV0797,Li-ion,SUV,12.7,145.7,44.2,22.6,12.1,29.14,not in demand
EV0276,Li-ion,Sedan,24.4,215.0,55.8,79.3,90.4,43.0,in demand
EV2729,NiMH,Hatchback,34.5,211.4,84.2,31.6,33.8,42.28,in demand
EV2911,NiMH,Hatchback,11.6,33.0,26.9,88.0,97.4,6.6,not in demand
EV1631,Li-ion,Truck,18.2,196.3,17.2,66.0,39.5,39.26,not in demand
EV1117,Li-ion,Truck,25.2,337.0,89.4,28.7,6.5,67.4,in demand
EV1850,NiMH,Sedan,1.4,192.9,70.5,25.7,33.8,38.58,not in demand
EV1362,NiMH,Truck,31.8,380.9,56.8,42.5,4.9,76.18,in demand
EV3154,Li-ion,SUV,35.4,328.2,9.6,92.3,111.1,65.64,in demand
EV3266,Li-ion,Truck,-0.3,381.8,58.2,32.7,21.1,76.36,in demand
EV1666,Li-ion,Sedan,16.9,178.5,67.0,46.0,37.3,35.7,not in demand
EV0446,Li-ion,Sedan,-6.3,134.5,64.5,26.9,98.2,26.9,not in demand
EV2246,LiFePO4,Truck,12.8,394.6,78.0,27.5,97.6,78.92,in demand
EV0453,NiMH,Truck,-9.2,51.1,46.2,35.1,84.9,10.22,not in demand
EV1552,LiFePO4,Truck,19.8,15.7,15.8,55.6,105.2,3.14,not in demand
EV1789,Li-ion,SUV,28.6,14.7,29.6,54.3,85.7,2.94,not in demand
EV2955,LiFePO4,SUV,27.9,329.4,93.4,69.6,17.4,65.88,in demand
EV0015,NiMH,Sedan,34.3,423.8,41.0,60.8,38.7,84.76,in demand
EV0060,LiFePO4,Hatchback,39.0,10.0,16.2,96.1,53.5,2.0,not in demand
EV0946,LiFePO4,Hatchback,39.4,142.7,78.6,63.7,89.0,28.54,not in demand
EV0248,LiFePO4,Sedan,31.4,235.5,74.3,65.2,13.3,47.1,in demand
EV2748,NiMH,SUV,5.9,143.4,22.1,21.4,64.1,28.68,not in demand
EV0361,NiMH,Hatchback,10.5,39.5,27.8,54.7,72.0,7.9,not in demand
EV0930,NiMH,Truck,30.6,244.6,70.5,85.3,88.5,48.92,in demand
EV1615,LiFePO4,Truck,38.3,81.0,74.3,68.8,21.8,16.2,not in demand
EV2304,NiMH,Hatchback,14.4,397.0,72.4,69.5,106.0,79.4,in demand
EV1132,LiFePO4,Truck,26.5,363.3,10.0,90.5,102.0,72.66,in demand
EV3169,NiMH,Sedan,33.2,93.0,9.6,81.1,17.4,18.6,not in demand
EV2479,LiFePO4,SUV,31.1,409.2,39.6,20.0,67.4,81.84,in demand
EV3488,LiFePO4,Sedan,24.7,108.5,13.1,58.7,92.4,21.7,not in demand
EV2411,NiMH,SUV,44.1,89.9,50.6,67.3,12.6,17.98,not in demand
EV2631,NiMH,Sedan,38.9,119.1,86.2,35.6,35.0,23.82,not in demand
EV3164,LiFePO4,Truck,11.7,376.2,30.0,58.7,18.8,75.24,in demand
EV0491,NiMH,Hatchback,10.6,388.8,2.3,89.4,35.5,77.76,in demand
EV0863,LiFePO4,SUV,11.3,459.0,84.4,33.3,58.1,91.8,in demand
EV1741,Li-ion,Truck,24.9,453.2,7.8,64.6,86.5,90.64,in demand
EV1372,Li-ion,Sedan,29.4,327.3,64.3,35.2,74.1,65.46,in demand
EV2377,Li-ion,Hatchback,4.4,88.8,5.2,69.7,72.6,17.76,not in demand
EV2448,LiFePO4,Sedan,29.3,433.4,26.3,90.4,84.9,86.68,in demand
EV1680,NiMH,Sedan,-1.1,338.7,58.7,47.7,38.7,67.74,in demand
EV0507,Li-ion,Truck,11.9,374.1,70.1,88.5,93.8,74.82,in demand
EV2678,Li-ion,Truck,4.5,180.2,70.8,99.1,57.2,36.04,not in demand
EV2996,LiFePO4,Sedan,18.8,160.5,57.5,33.1,2.7,32.1,not in demand
EV1943,Li-ion,Hatchback,-4.7,112.8,32.3,86.8,15.0,22.56,not in demand
EV1223,Li-ion,Truck,41.2,310.1,37.5,91.9,94.0,62.02,in demand
EV1114,LiFePO4,Truck,12.3,374.1,87.2,95.1,92.9,74.82,in demand
EV1906,LiFePO4,Hatchback,32.1,104.9,3.4,73.8,117.4,20.98,not in demand
EV3424,Li-ion,Truck,16.9,430.3,85.9,40.3,106.0,86.06,in demand
EV1878,Li-ion,SUV,1.9,417.7,88.3,85.3,110.4,83.54,in demand
EV0892,Li-ion,Hatchback,11.3,209.8,57.3,27.6,38.5,41.96,in demand
EV0434,NiMH,Hatchback,34.5,372.6,36.8,63.4,97.6,74.52,in demand
EV2365,Li-ion,Hatchback,-6.6,159.2,70.5,88.4,93.8,31.84,not in demand
EV3155,LiFePO4,Hatchback,-6.9,9.2,44.1,95.7,39.4,1.84,not in demand
EV2836,NiMH,Sedan,11.0,373.4,73.5,30.9,55.6,74.68,in demand
EV2093,Li-ion,Hatchback,11.4,10.3,92.9,26.8,44.0,2.06,not in demand
EV3011,Li-ion,Hatchback,44.9,474.4,82.7,76.5,107.7,94.88,in demand
EV3163,Li-ion,Truck,24.6,142.4,95.5,44.1,61.8,28.48,not in demand
EV2946,LiFePO4,Sedan,44.8,1.6,86.3,75.5,13.6,0.32,not in demand
EV0308,LiFePO4,Sedan,44.1,207.7,44.9,93.5,68.3,41.54,in demand
EV2917,NiMH,Hatchback,-4.4,319.8,72.5,58.5,40.5,63.96,in demand
EV1103,Li-ion,Hatchback,44.9,146.6,96.5,43.3,77.6,29.32,not in demand
EV1449,NiMH,Sedan,4.7,492.3,88.9,22.5,13.2,98.46,in demand
EV1721,Li-ion,Truck,-2.4,356.4,10.1,87.7,83.5,71.28,in demand
EV2368,NiMH,Sedan,27.7,395.9,29.2,26.3,105.8,79.18,in demand
EV0815,Li-ion,Hatchback,21.4,425.4,99.6,54.9,113.8,85.08,in demand
EV0157,LiFePO4,Truck,7.5,6.9,34.8,96.2,7.7,1.38,not in demand
EV2979,Li-ion,Hatchback,18.7,125.8,52.8,92.4,75.3,25.16,not in demand
EV1774,Li-ion,Hatchback,-2.0,34.7,85.3,95.7,92.2,6.94,not in demand
EV0616,Li-ion,Truck,35.0,473.4,59.4,99.6,31.8,94.68,in demand
EV0644,Li-ion,Sedan,28.8,221.4,80.5,98.1,40.0,44.28,in demand
EV1936,Li-ion,Truck,14.6,489.5,25.5,64.3,3.2,97.9,in demand
EV1078,Li-ion,Truck,8.8,12.7,27.7,57.0,114.0,2.54,not in demand
EV1069,NiMH,Hatchback,28.3,242.6,58.4,58.6,81.0,48.52,in demand
EV2381,NiMH,Truck,14.7,415.8,100.0,28.6,111.4,83.16,in demand
EV2551,NiMH,Truck,23.1,457.5,45.4,29.0,105.5,91.5,in demand
EV1454,Li-ion,Truck,25.4,331.9,41.5,23.0,45.0,66.38,in demand
EV3100,LiFePO4,SUV,-3.8,19.3,12.9,24.8,32.9,3.86,not in demand
EV0331,Li-ion,Sedan,43.2,486.0,25.7,66.1,73.9,97.2,in demand
EV2058,Li-ion,Sedan,44.6,159.0,67.3,40.3,107.1,31.8,not in demand
EV2647,NiMH,Sedan,38.9,209.5,41.6,78.0,35.0,41.9,in demand
EV2192,LiFePO4,Truck,-6.6,215.8,44.7,34.3,96.8,43.16,in demand
EV0623,NiMH,Sedan,41.2,365.8,38.4,42.6,114.8,73.16,in demand
EV1596,NiMH,Truck,2.2,113.4,61.8,29.9,41.4,22.68,not in demand
EV2916,NiMH,Truck,36.0,440.9,95.2,62.2,19.6,88.18,in demand
EV0524,LiFePO4,Truck,-5.5,165.5,21.7,93.7,55.7,33.1,not in demand
EV1005,Li-ion,Truck,41.9,463.8,34.5,30.2,36.6,92.76,in demand
EV1920,Li-ion,Hatchback,-3.4,479.3,21.6,66.1,79.4,95.86,in demand
EV2712,Li-ion,Truck,10.1,184.0,3.7,78.1,84.9,36.8,not in demand
EV2148,NiMH,Truck,11.5,197.7,73.4,83.5,111.3,39.54,not in demand
EV0756,LiFePO4,Sedan,28.8,365.6,3.1,33.4,67.2,73.12,in demand
EV0519,Li-ion,Truck,-8.6,342.4,83.8,55.7,68.4,68.48,in demand
EV0095,Li-ion,Hatchback,30.6,136.1,23.8,44.5,61.6,27.22,not in demand
EV0033,NiMH,Truck,23.3,173.6,3.5,55.5,117.6,34.72,not in demand
EV2938,Li-ion,Hatchback,-9.8,433.8,60.6,92.5,15.4,86.76,in demand
EV1158,Li-ion,SUV,41.6,465.8,0.9,37.7,39.2,93.16,in demand
EV0745,Li-ion,Hatchback,33.6,142.3,87.1,81.2,31.0,28.46,not in demand
EV1498,NiMH,Hatchback,42.1,20.7,66.7,69.0,40.0,4.14,not in demand
EV3460,NiMH,SUV,21.5,374.7,91.2,65.8,44.6,74.94,in demand
EV2578,LiFePO4,Sedan,33.6,436.8,74.5,81.9,80.8,87.36,in demand
EV2592,LiFePO4,Sedan,-9.0,125.2,53.4,37.7,80.1,25.04,not in demand
EV0784,NiMH,SUV,21.0,234.4,24.1,71.5,37.2,46.88,in demand
EV3494,LiFePO4,Hatchback,16.9,220.0,87.9,53.6,54.5,44.0,in demand
EV2950,Li-ion,SUV,22.5,412.7,43.2,68.1,105.1,82.54,in demand
EV0230,LiFePO4,Truck,44.8,476.6,86.1,86.0,40.7,95.32,in demand
EV0858,Li-ion,Sedan,-7.7,121.0,13.6,20.9,19.2,24.2,not in demand
EV2267,Li-ion,Hatchback,40.6,168.0,79.1,76.7,72.2,33.6,not in demand
EV3246,LiFePO4,SUV,40.7,283.5,45.8,64.5,19.0,56.7,in demand
EV0409,LiFePO4,SUV,-6.6,367.7,69.7,32.3,51.1,73.54,in demand
EV0171,NiMH,Sedan,44.2,288.6,54.6,23.1,51.0,57.72,in demand
EV0541,NiMH,SUV,-6.5,280.6,7.8,91.8,38.8,56.12,in demand
EV2211,Li-ion,SUV,-8.8,485.7,67.8,25.3,118.6,97.14,in demand
EV2305,Li-ion,SUV,20.9,484.5,55.1,66.8,98.9,96.9,in demand
EV2568,NiMH,SUV,30.1,65.6,31.9,34.4,90.4,13.12,not in demand
EV0614,LiFePO4,Sedan,15.7,385.5,33.3,32.6,40.3,77.1,in demand
EV2102,NiMH,Truck,45.0,159.5,39.7,38.8,57.8,31.9,not in demand
EV1809,NiMH,Sedan,41.4,197.9,33.9,50.9,72.8,39.58,not in demand
EV3439,Li-ion,Truck,5.0,244.6,71.9,70.0,95.8,48.92,in demand
EV1162,Li-ion,Truck,27.9,388.6,37.5,73.2,16.8,77.72,in demand
EV0548,NiMH,Truck,41.9,202.1,83.6,94.7,78.9,40.42,in demand
EV3120,LiFePO4,Hatchback,39.6,158.4,95.7,99.2,63.0,31.68,not in demand
EV2615,LiFePO4,SUV,33.9,361.5,26.6,50.2,52.3,72.3,in demand
EV1611,Li-ion,Sedan,-7.0,63.0,75.2,41.5,36.8,12.6,not in demand
EV1933,Li-ion,Truck,40.5,142.3,63.1,52.6,40.9,28.46,not in demand
EV3028,LiFePO4,Sedan,28.6,466.6,17.5,68.7,16.5,93.32,in demand
EV0565,LiFePO4,SUV,35.1,249.8,5.4,54.4,74.4,49.96,in demand
EV1218,LiFePO4,Hatchback,40.0,77.7,66.9,44.9,19.6,15.54,not in demand
EV3186,LiFePO4,Truck,13.7,403.2,53.8,40.6,108.8,80.64,in demand
EV2389,NiMH,SUV,30.0,62.1,79.3,88.9,37.7,12.42,not in demand
EV1472,NiMH,SUV,33.4,370.9,67.3,97.2,99.7,74.18,in demand
EV2631,NiMH,Sedan,38.9,119.1,86.2,35.6,35.0,23.82,not in demand
EV1836,LiFePO4,Sedan,43.5,311.8,1.2,25.1,106.2,62.36,in demand
EV0222,LiFePO4,Truck,7.8,240.6,5.9,24.9,13.1,48.12,in demand
EV3476,LiFePO4,Sedan,35.8,40.9,68.0,83.5,40.7,8.18,not in demand
EV1534,NiMH,Hatchback,18.3,446.5,9.7,76.5,72.4,89.3,in demand
EV0704,Li-ion,Truck,7.3,418.2,45.0,39.3,56.4,83.64,in demand
EV2485,NiMH,Hatchback,35.4,261.6,59.2,48.2,5.3,52.32,in demand
EV1903,Li-ion,Truck,35.0,416.0,92.1,66.5,6.9,83.2,in demand
EV1173,NiMH,Hatchback,35.2,124.5,74.0,75.9,83.1,24.9,not in demand
EV1428,LiFePO4,SUV,14.1,146.3,63.3,23.0,113.2,29.26,not in demand
EV0326,NiMH,Hatchback,25.9,223.4,58.1,73.6,3.4,44.68,in demand
EV1052,Li-ion,SUV,31.0,273.3,77.5,36.4,40.0,54.66,in demand
